dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
FeTaQA,gpt-4o,1,hard,0.775,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,soft,0.775,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,bge_m3,0.359,0.003,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,5,hard,0.711,0.010,0.917,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,5,soft,0.781,0.004,1.008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,5,bge_m3,0.468,0.009,1.300,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,10,hard,0.688,0.004,0.887,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,10,soft,0.782,0.006,1.008,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,10,bge_m3,0.503,0.003,1.399,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,20,hard,0.668,0.009,0.862,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,20,soft,0.776,0.006,1.001,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,20,bge_m3,0.542,0.010,1.508,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,30,hard,0.665,0.008,0.858,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,30,soft,0.773,0.005,0.997,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,30,bge_m3,0.560,0.007,1.559,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,40,hard,0.656,0.004,0.846,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,40,soft,0.767,0.006,0.990,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,40,bge_m3,0.573,0.003,1.593,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,50,hard,0.662,0.002,0.854,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,50,soft,0.763,0.002,0.984,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,50,bge_m3,0.584,0.002,1.625,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
FeTaQA,claude-haiku-4-5,1,hard,0.886,0.008,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
